plz,note,einwohner,qkm,lat,lon,Density
80331,80331 München,4741,0.78277,48.13575,11.57351,6056.6960920832435
80333,80333 München,11265,1.615148,48.14495,11.56824,6974.593040390107
80335,80335 München,9042,1.697719,48.14657,11.55112,5325.969727616879
80336,80336 München,8103,1.568529,48.13101,11.55228,5165.986730242156
80337,80337 München,15280,1.046991,48.12675,11.55904,14594.20377061503
80339,80339 München,26482,1.998925,48.13468,11.53796,13248.120864964918
80469,80469 München,23960,1.223598,48.12662,11.57054,19581.59460868684
80538,80538 München,11009,2.142386,48.14309,11.59025,5138.663154072142
80539,80539 München,3210,0.833153,48.14436,11.58107,3852.8337532241976
80634,80634 München,18599,1.273151,48.1503,11.52845,14608.636367563628
80636,80636 München,22680,1.669394,48.15035,11.54217,13585.768248837601
80637,80637 München,20448,2.193278,48.15944,11.53661,9323.031553683573
80638,80638 München,9589,3.992636,48.16304,11.50887,2401.671477189506
80639,80639 München,19417,3.924203,48.15029,11.50211,4948.011099323863
80686,80686 München,19915,2.790459,48.13171,11.51661,7136.818709753486
80687,80687 München,21577,2.311476,48.14052,11.50825,9334.728113119063
80689,80689 München,28077,3.652286,48.13266,11.48909,7687.514066532577
80796,80796 München,15424,0.804977,48.16287,11.56981,19160.795898516353
80797,80797 München,17184,1.823391,48.16165,11.55727,9424.19919808752
80798,80798 München,12747,0.487418,48.15518,11.56616,26152.091223549396
80799,80799 München,13557,0.672546,48.15207,11.57481,20157.72898805435
80801,80801 München,9242,0.46985,48.15916,11.57902,19670.107481110994
80802,80802 München,9333,1.491727,48.16004,11.593,6256.506720063389
80803,80803 München,9404,0.526172,48.16442,11.58033,17872.48276229066
80804,80804 München,14468,1.666769,48.17252,11.5764,8680.26703160426
80805,80805 München,17606,5.607253,48.17199,11.60312,3139.8618895919267
80807,80807 München,25489,3.871744,48.18307,11.58399,6583.338154588733
80809,80809 München,21134,4.693812,48.17828,11.55387,4502.523748288171
80933,80933 München,18237,1.901156,48.21799,11.55671,9592.584722137479
80935,80935 München,12804,3.697491,48.19971,11.55527,3462.888753481753
80937,80937 München,20995,6.272729,48.20958,11.57515,3347.0280638618374
80939,80939 München,25640,16.041944,48.20445,11.61273,1598.3100302556845
80992,80992 München,20834,4.260131,48.1737,11.51927,4890.459941255327
80993,80993 München,16207,2.401043,48.1867,11.52141,6749.983236451825
80995,80995 München,24081,24.21145,48.218,11.51277,994.6120533879632
80997,80997 München,22698,10.930837,48.19279,11.48446,2076.510700873135
80999,80999 München,14831,8.413683,48.19266,11.45203,1762.723886792502
81241,81241 München,20877,4.530186,48.14078,11.46653,4608.420051627019
81243,81243 München,19098,3.920264,48.14465,11.43793,4871.610687443499
81245,81245 München,25445,8.886998,48.16091,11.43136,2863.171568171839
81247,81247 München,16330,4.938245,48.1682,11.46864,3306.8428156156688
81248,81248 München,121,1.984763,48.14978,11.40236,60.96445772114857
81249,81249 München,17519,24.899701,48.16514,11.38836,703.582745832972
81369,81369 München,23294,2.038406,48.11204,11.52962,11427.556630033467
81371,81371 München,23058,2.167561,48.11204,11.5468,10637.762904942467
81373,81373 München,24275,2.390052,48.1232,11.53179,10156.68278347082
81375,81375 München,22853,3.099704,48.11867,11.48349,7372.639452025097
81377,81377 München,24272,6.76985,48.11084,11.491,3585.308389403015
81379,81379 München,23784,6.207256,48.10251,11.51952,3831.644771860545
81475,81475 München,15079,2.571481,48.09002,11.48025,5863.935996416073
81476,81476 München,15172,2.751227,48.08739,11.4957,5514.630381280788
81477,81477 München,14152,3.184975,48.08389,11.50999,4443.362977731379
81479,81479 München,15183,4.896482,48.0761,11.52156,3100.7976747387206
81539,81539 München,25433,1.899346,48.11011,11.5911,13390.398589830394
81541,81541 München,25035,2.25431,48.12126,11.58779,11105.39366812905
81543,81543 München,19962,2.943451,48.1083,11.56503,6781.835335461674
81545,81545 München,12596,3.316705,48.08389,11.54886,3797.745051187851
81547,81547 München,17735,2.302272,48.10033,11.57324,7703.260083951854
81549,81549 München,24582,5.001028,48.09799,11.59982,4915.389395940195
81667,81667 München,17082,1.205527,48.13041,11.60102,14169.736555050198
81669,81669 München,16903,1.660407,48.12054,11.60335,10180.03417234449
81671,81671 München,17950,2.293257,48.12326,11.61188,7827.295414338646
81673,81673 München,22612,2.830201,48.12565,11.63228,7989.538552208835
81675,81675 München,11770,1.618002,48.14135,11.59825,7274.403863530453
81677,81677 München,13175,3.22414,48.13959,11.62034,4086.3610140998844
81679,81679 München,9142,1.569627,48.1484,11.61248,5824.313674522673
81735,81735 München,23739,3.689091,48.10931,11.63999,6434.918520578647
81737,81737 München,28379,5.325262,48.09958,11.63755,5329.127468282311
81739,81739 München,23019,6.902256,48.0893,11.65819,3334.9965576472387
81825,81825 München,26239,4.969818,48.11807,11.66179,5279.670201202539
81827,81827 München,22488,6.742075,48.10733,11.69119,3335.471646340333
81829,81829 München,20707,10.291376,48.13379,11.68308,2012.073021139253
81925,81925 München,16377,4.332202,48.16326,11.62015,3780.294640000628
81927,81927 München,22877,3.554265,48.16048,11.63825,6436.492495635525
81929,81929 München,14780,12.777325,48.16065,11.66304,1156.7366408853184
